IDS,Site #,Vendor Name,Vendor Link,Site Name,Location,City,State,Zip,Latitude,Longitude
BIL,189,COAST ELECTRIC,https://outages.coastelectric.coop/,Biloxi,12020 SHRINERS BLVD,BILOXI,MS,39532,30.456,-88.8853
MOMN,190,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Monticello,3801 CHELSEA RD W,MONTICELLO,MN,55362-3332,45.3201,-93.8376
TUL,191,PUBLIC SERVICE COMPANY OF OK,https://outagemap.psoklahoma.com/,Tulsa,9005 E. SKELLY DR.,TULSA,OK,74129-3405,36.1045,-95.8762
POK,192,OG&E,https://outagemap.oge.com/,Poteau,34203 US HIGHWAY 59 S,POTEAU,OK,74953-8734,35.0308,-94.5815
WLWA,388,Cowlitz County PUD,https://www.cowlitzpud.org/outages/,Vancouver,1986 ATLANTIC AVENUE,WOODLAND,WA,98674,45.54197856,-122.4152108
WRC,196,Xcel Energy,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Wheat Ridge,9870 W 48TH AVE,WHEAT RIDGE,CO,80033-2267,39.78308,-105.107933
BGA,197,Jackson EMC,https://outage.jacksonemc.com/,Buford,2289 ROCK QUARRY RD EAST,BUFORD,GA,30519-4291,34.0752678,-83.89904
TVA,199,RAPPAHANNOCK ELECTRIC COOP.,https://outagemap.myrec.coop/,Thornburg,6101 MALLARD RD,THORNBURG,VA,22565,38.3157,-77.5034
MB7,202,SANTEE COOPER,https://stormcenter.santeecooper.com/,Myrtle Beach,2301 DICK POND RD,MYRTLE BEACH,SC,29575-5512,33.7375,-78.9507
DCW7,203,DUKE ENERGY,https://outagemap.duke-energy.com/,Bartow,7400 STATE ROAD 60 E,BARTOW,FL,33830-8483,27.8936,-81.7449
MCG,206,Dominion Energy Virginia,https://outagemap.dominionenergy.com/,Ashland (Richmond),11525 SUNSHADE LANE,ASHLAND,VA,23005-8048,37.72477,-77.45096
APA,208,West Penn Power,https://outages-pa.firstenergycorp.com/?c=External_PANY&o=View_by_Area,Apollo,537 STATE ROUTE 356,APOLLO,PA,15613-8879,40.5788,-79.5803
SAR,211,Entergy Arkansas,https://www.etrviewoutage.com/map?state=AR,Sherwood,6721 WARDEN ROAD,SHERWOOD,AR,72120-5040,34.81942,-92.19989
RIL,212,ROCK ENERGY COOP.,https://rock.outagemap.coop/,Rockford,6135 ALL WORLD WAY,ROSCOE,IL,61073-7738,42.4398,-89.009
SSD,213,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Sioux Falls,1601 E ROBUR DRIVE,SIOUX FALLS,SD,57104-0500,43.5299,-96.7065
NVA,215,Dominion Energy Virginia,https://outagemap.dominionenergy.com/,New Port News,11963 JEFFERSON AVENUE,NEWPORT NEWS,VA,23606-4322,37.09345,-76.48777
PIN,394,Duke Energy Indiana,https://outagemap.duke-energy.com/,Petersburg,323 EAST ILLINOIS STREET,PETERSBURG,IN,47567,38.48463263,-87.28736606
CRV7,219,COMED,https://www.comed.com/outages/experiencing-an-outage/outage-map,Island Lake,27794 N DARRELL RD,WAUCONDA,IL,60084-9796,42.2658,-88.1557
PWA,220,FRANKLIN PUD,https://franklinpud.outagemap.coop/,Pasco,9420 SANDIFUR PKWY,PASCO,WA,99301-9837,46.2619,-119.1486
KC17,224,UNITED POWER,https://outages.unitedpower.com/outages/,Longmont,14504 E I25 FRONTAGE RD,LONGMONT,CO,80504-9626,40.1674,-105.1019
SRV7,225,OHIO EDISON,https://outages-oh.firstenergycorp.com/,Akron,1005 INTERSTATE PKWY,AKRON,OH,44312-5289,40.999,-81.4648
GNC,226,Greenville Utilities Commission,https://outage.guc.com/,Greenville,111 RED BANKS RD,GREENVILLE,NC,27858-5702,35.58242,-77.37937
RNV,227,NV Energy,https://maps.nvenergy.com/outagemap/index.html,Reno,9125 S. VIRGINIA STREET,RENO,NV,89511-8965,39.44609,-119.776283
MFL,355,Florida Power & Light,https://www.fplmaps.com/,Melbourne,1115 SARNO ROAD,MELBOURNE,FL,32935,28.1210471,-80.63708055
KY7,230,KAYSVILLE CITY,https://www.kaysville.gov/960/Outages,Kaysville,780 N KAYS DR,KAYSVILLE,UT,84037-4156,41.0487,-111.9609
CLB,232,Oncor,https://stormcenter.oncor.com/,Cleburn / Alvarado,5201 N PKWY DR,ALVARADO,TX,76009-6380,32.4286652,-97.23496
FWT,233,RELIANT,https://www.reliant.com/en/residential/help-support/contact/report-an-outage,Fort Worth,6001 QUEBEC ST,FORT WORTH,TX,76135-3626,32.8508,-97.4877
CFX7,236,DUKE ENERGY,https://outagemap.duke-energy.com/,Colfax,8615 TRIAD DRIVE,COLFAX,NC,27235-9404,36.0952,-80.0064
OOK,237,OG&E,https://outagemap.oge.com/,Oklahoma City (Leisure Time),4901 S ANDERSON RD,OKLAHOMA CITY,OK,73150-3804,35.4163,-97.3169
RED,238,PG&E,https://www.pge.com/outagestatus,Anderson,3800 Auto Mall Dr,ANDERSON,CALIFORNIA,96007,40.4476,-122.2975
MES,240,Salt River Project,https://www.srpnet.com/outagemap,Mesa,2222 E MAIN ST,MESA,AZ,85213-9109,33.4181,-111.7825
AVO,241,SRP,https://myaccount.srpnet.com/power/myaccount/outages,Avondale,10255 W. PAPAGO FREEWAY,AVONDALE,AZ,85323-5302,33.4458,-112.2809
HMN,242,CONNEXUS ENERGY,https://experience.arcgis.com/experience/3ef36487143d4dc28dad813f667a40d9,Hugo,14025 WEST FREEWAY DRIVE,HUGO,MN,55038-9705,45.1593,-92.993
HAR7,246,PPL ELECTRIC UTILITIES CORP,https://omap.prod.pplweb.com/OMAP,Harrisburg,7501 ALLENTOWN BLVD,HARRISBURG,PA,17112-4232,40.3328,-76.7582
COC,255,FPL,https://www.fplmaps.com/,Cocoa,4700 KING ST,COCOA,FL,32926-3252,28.3838,-80.7918
LAP,131,Georgia Power,https://outagemap.georgiapower.com/,Lake Park,5244 JEWELL FUTCH RD.,LAKE PARK,GA,31636-3278,30.67680208,-83.22163983
POH,260,CITY OF PIQUA,https://piquaoh.org/228/Power-System,Piqua,8793 N COUNTY ROAD 25A,PIQUA,OH,45356-9512,40.1975,-84.2736
BRMI,261,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Birch Run,11600 SOUTH BEYER RD,BIRCH RUN,MI,48415-8314,43.2749,-83.7948
,263,SOUTH CENTRAL ELECTRIC ASSOCIATION,https://proxy.star-mapping.com/SouthCentralPublic/Maps/SystemMap,Madelia MN,84601 Olson Drive Madelia,MADELIA,MINNESOTA,56062,44.0384,-94.4045
RMN,264,PEOPLES ENERGY COOP.,https://peoplesrec.outagemap.coop/,Rochester,1260 LAKE SHADY AVENUE S,ORONOCO,MN,55960-2342,44.0367,-92.4452
FND,266,Cass County Electric Cooperative,https://outage.kwh.com/,Fargo,2249 MAIN AVENUE EAST,WEST FARGO,ND,58078-2214,46.8752747,-96.862854
SCMO,267,AMEREN MISSOURI,https://outagemap.ameren.com/external/default.html,Cape Girardeau,49 AIRPORT RD,SCOTT CITY,MO,63780-4501,37.2288,-89.5706
CWY,268,Black Hills Energy,https://www.blackhillsenergy.com/outages,Cheyenne,8910 HUTCHINS DRIVE,CHEYENNE,WY,82007-1979,41.0947,-104.9368
LNE,269,LINCOLN ELECTRIC SYSTEMS,https://lincolnelectric.outagemap.coop/,Lincoln,6340 ARBOR ROAD,LINCOLN,NE,68517-3213,40.747,-96.6335
MED,274,PACIFIC POWER,https://www.pacificpower.net/outages-safety.html,Medford (CW),938 CHEVY WAY,MEDFORD,OR,97504-4100,42.3817,-122.8726
RSC,276,DOMINION ENERGY SOUTH CAROLINA,https://outagemap.dominionenergysc.com/,Ridgeland,401 SYCAMORE DR,RIDGELAND,SC,29936-8981,32.4702,-80.9808
BRIL,279,COMED,https://www.comed.com/outages/experiencing-an-outage/outage-map,Braidwood,800 EZ STREET,BRAIDWOOD,IL,60408-2301,41.2684,-88.2123
WME,280,Central Maine Power,https://outagemap.cmpco.com/,Windham,480 ROOSEVELT TRAIL,WINDHAM,ME,04062-6931,43.80908,-70.41697
WBMA,281,WEST BOYLSTON MUNICIPAL LIGHTING PLANT,https://www.wbmlp.org/customer-service.html,West Boylston,66 W BOYLSTON ST,WEST BOYLSTON,MA,01583-1712,42.3633,-71.7868
UMA,283,NATIONAL GRID,https://www.nationalgridus.com/MA-Home/Outage-Central/Outage-Map,Uxbridge,865 QUAKER HWY,UXBRIDGE,MA,01569-2252,42.0776,-71.6414
SUT,284,CITY OF ST. GEORGE UTILITY BILL,https://www.dixiepower.com/outage-map/,St. George,341 EAST SUNLAND DRIVE,ST. GEORGE,UT,84790-5903,37.0837,-113.5768
